"Date","month","Day","Year","Hour","Day of Week","WeekDay","Peakhour","Temperature"
"06/13/2016",6,13,2016,17,1,1,1,71
"06/13/2016",6,13,2016,18,1,1,1,70
"06/13/2016",6,13,2016,19,1,1,1,70
"06/13/2016",6,13,2016,20,1,1,0,69
"06/13/2016",6,13,2016,21,1,1,0,67
"06/13/2016",6,13,2016,22,1,1,0,65
"06/13/2016",6,13,2016,23,1,1,0,63
"06/14/2016",6,14,2016,0,2,1,0,61
"06/14/2016",6,14,2016,1,2,1,0,60
"06/14/2016",6,14,2016,2,2,1,0,59
"06/14/2016",6,14,2016,3,2,1,0,58
"06/14/2016",6,14,2016,4,2,1,0,57
"06/14/2016",6,14,2016,5,2,1,0,56
"06/14/2016",6,14,2016,6,2,1,0,56
"06/14/2016",6,14,2016,7,2,1,1,58
"06/14/2016",6,14,2016,8,2,1,1,61
"06/14/2016",6,14,2016,9,2,1,1,64
"06/14/2016",6,14,2016,10,2,1,1,67
"06/14/2016",6,14,2016,11,2,1,1,69
"06/14/2016",6,14,2016,12,2,1,1,71
"06/14/2016",6,14,2016,13,2,1,1,73
"06/14/2016",6,14,2016,14,2,1,1,75
"06/14/2016",6,14,2016,15,2,1,1,75
"06/14/2016",6,14,2016,16,2,1,1,75
"06/14/2016",6,14,2016,17,2,1,1,75
"06/14/2016",6,14,2016,18,2,1,1,74
"06/14/2016",6,14,2016,19,2,1,1,73
"06/14/2016",6,14,2016,20,2,1,0,71
"06/14/2016",6,14,2016,21,2,1,0,68
"06/14/2016",6,14,2016,22,2,1,0,66
"06/14/2016",6,14,2016,23,2,1,0,65
"06/15/2016",6,15,2016,0,3,1,0,64
"06/15/2016",6,15,2016,1,3,1,0,63
"06/15/2016",6,15,2016,2,3,1,0,62
"06/15/2016",6,15,2016,3,3,1,0,61
"06/15/2016",6,15,2016,4,3,1,0,61
"06/15/2016",6,15,2016,5,3,1,0,60
"06/15/2016",6,15,2016,6,3,1,0,61
"06/15/2016",6,15,2016,7,3,1,1,65
"06/15/2016",6,15,2016,8,3,1,1,68
"06/15/2016",6,15,2016,9,3,1,1,71
"06/15/2016",6,15,2016,10,3,1,1,74
"06/15/2016",6,15,2016,11,3,1,1,76
"06/15/2016",6,15,2016,12,3,1,1,77
"06/15/2016",6,15,2016,13,3,1,1,78
"06/15/2016",6,15,2016,14,3,1,1,78
"06/15/2016",6,15,2016,15,3,1,1,79
"06/15/2016",6,15,2016,16,3,1,1,79
"06/15/2016",6,15,2016,17,3,1,1,78
"06/15/2016",6,15,2016,18,3,1,1,77
"06/15/2016",6,15,2016,19,3,1,1,75
"06/15/2016",6,15,2016,20,3,1,0,74
"06/15/2016",6,15,2016,21,3,1,0,72
"06/15/2016",6,15,2016,22,3,1,0,70
"06/15/2016",6,15,2016,23,3,1,0,69
"06/16/2016",6,16,2016,0,4,1,0,68
"06/16/2016",6,16,2016,1,4,1,0,67
"06/16/2016",6,16,2016,2,4,1,0,65
"06/16/2016",6,16,2016,3,4,1,0,63
"06/16/2016",6,16,2016,4,4,1,0,62
"06/16/2016",6,16,2016,5,4,1,0,61
"06/16/2016",6,16,2016,6,4,1,0,61
"06/16/2016",6,16,2016,7,4,1,1,64
"06/16/2016",6,16,2016,8,4,1,1,68
"06/16/2016",6,16,2016,9,4,1,1,71
"06/16/2016",6,16,2016,10,4,1,1,74
"06/16/2016",6,16,2016,11,4,1,1,76
"06/16/2016",6,16,2016,12,4,1,1,76
"06/16/2016",6,16,2016,13,4,1,1,77
"06/16/2016",6,16,2016,14,4,1,1,77
"06/16/2016",6,16,2016,15,4,1,1,77
"06/16/2016",6,16,2016,16,4,1,1,76
"06/16/2016",6,16,2016,17,4,1,1,75
"06/16/2016",6,16,2016,18,4,1,1,74
"06/16/2016",6,16,2016,19,4,1,1,72
"06/16/2016",6,16,2016,20,4,1,0,71
"06/16/2016",6,16,2016,21,4,1,0,68
"06/16/2016",6,16,2016,22,4,1,0,66
"06/16/2016",6,16,2016,23,4,1,0,65
"06/17/2016",6,17,2016,0,5,1,0,63
"06/17/2016",6,17,2016,1,5,1,0,63
"06/17/2016",6,17,2016,2,5,1,0,62
"06/17/2016",6,17,2016,3,5,1,0,61
"06/17/2016",6,17,2016,4,5,1,0,60
"06/17/2016",6,17,2016,5,5,1,0,60
"06/17/2016",6,17,2016,6,5,1,0,60
"06/17/2016",6,17,2016,7,5,1,1,63
"06/17/2016",6,17,2016,8,5,1,1,65
"06/17/2016",6,17,2016,9,5,1,1,66
"06/17/2016",6,17,2016,10,5,1,1,67
"06/17/2016",6,17,2016,11,5,1,1,67
"06/17/2016",6,17,2016,12,5,1,1,67
"06/17/2016",6,17,2016,13,5,1,1,68
"06/17/2016",6,17,2016,14,5,1,1,67
"06/17/2016",6,17,2016,15,5,1,1,67
"06/17/2016",6,17,2016,16,5,1,1,67
"06/17/2016",6,17,2016,17,5,1,1,67
"06/17/2016",6,17,2016,18,5,1,1,66
"06/17/2016",6,17,2016,19,5,1,1,64
"06/17/2016",6,17,2016,20,5,1,0,63
"06/17/2016",6,17,2016,21,5,1,0,61
"06/17/2016",6,17,2016,22,5,1,0,59
"06/17/2016",6,17,2016,23,5,1,0,59
"06/18/2016",6,18,2016,0,6,0,0,58
"06/18/2016",6,18,2016,1,6,0,0,58
"06/18/2016",6,18,2016,2,6,0,0,58
"06/18/2016",6,18,2016,3,6,0,0,57
"06/18/2016",6,18,2016,4,6,0,0,57
"06/18/2016",6,18,2016,5,6,0,0,57
"06/18/2016",6,18,2016,6,6,0,0,58
"06/18/2016",6,18,2016,7,6,0,1,60
"06/18/2016",6,18,2016,8,6,0,1,63
"06/18/2016",6,18,2016,9,6,0,1,64
"06/18/2016",6,18,2016,10,6,0,1,66
"06/18/2016",6,18,2016,11,6,0,1,67
"06/18/2016",6,18,2016,12,6,0,1,67
"06/18/2016",6,18,2016,13,6,0,1,68
"06/18/2016",6,18,2016,14,6,0,1,68
"06/18/2016",6,18,2016,15,6,0,1,69
"06/18/2016",6,18,2016,16,6,0,1,69
"06/18/2016",6,18,2016,17,6,0,1,69
"06/18/2016",6,18,2016,18,6,0,1,67
"06/18/2016",6,18,2016,19,6,0,1,65
"06/18/2016",6,18,2016,20,6,0,0,63
"06/18/2016",6,18,2016,21,6,0,0,62
"06/18/2016",6,18,2016,22,6,0,0,61
"06/18/2016",6,18,2016,23,6,0,0,61
"06/19/2016",6,19,2016,0,0,0,0,60
"06/19/2016",6,19,2016,1,0,0,0,60
"06/19/2016",6,19,2016,2,0,0,0,59
"06/19/2016",6,19,2016,3,0,0,0,58
"06/19/2016",6,19,2016,4,0,0,0,57
"06/19/2016",6,19,2016,5,0,0,0,56
"06/19/2016",6,19,2016,6,0,0,0,57
"06/19/2016",6,19,2016,7,0,0,1,60
"06/19/2016",6,19,2016,8,0,0,1,63
"06/19/2016",6,19,2016,9,0,0,1,66
"06/19/2016",6,19,2016,10,0,0,1,68
"06/19/2016",6,19,2016,11,0,0,1,70
"06/19/2016",6,19,2016,12,0,0,1,71
"06/19/2016",6,19,2016,13,0,0,1,70
"06/19/2016",6,19,2016,14,0,0,1,69
"06/19/2016",6,19,2016,15,0,0,1,69
"06/19/2016",6,19,2016,16,0,0,1,68
"06/19/2016",6,19,2016,17,0,0,1,68
"06/19/2016",6,19,2016,18,0,0,1,66
"06/19/2016",6,19,2016,19,0,0,1,65
"06/19/2016",6,19,2016,20,0,0,0,62
"06/19/2016",6,19,2016,21,0,0,0,62
"06/19/2016",6,19,2016,22,0,0,0,62
"06/19/2016",6,19,2016,23,0,0,0,62
"06/20/2016",6,20,2016,0,1,1,0,62
"06/20/2016",6,20,2016,1,1,1,0,62
"06/20/2016",6,20,2016,2,1,1,0,62
"06/20/2016",6,20,2016,3,1,1,0,61
"06/20/2016",6,20,2016,4,1,1,0,61
"06/20/2016",6,20,2016,5,1,1,0,61
"06/20/2016",6,20,2016,6,1,1,0,61
"06/20/2016",6,20,2016,7,1,1,1,63
"06/20/2016",6,20,2016,8,1,1,1,67
"06/20/2016",6,20,2016,9,1,1,1,70
"06/20/2016",6,20,2016,10,1,1,1,73
"06/20/2016",6,20,2016,11,1,1,1,74
"06/20/2016",6,20,2016,12,1,1,1,76
"06/20/2016",6,20,2016,13,1,1,1,76
"06/20/2016",6,20,2016,14,1,1,1,77
"06/20/2016",6,20,2016,15,1,1,1,77
"06/20/2016",6,20,2016,16,1,1,1,76
"06/20/2016",6,20,2016,17,1,1,1,75
"06/20/2016",6,20,2016,18,1,1,1,75
"06/20/2016",6,20,2016,19,1,1,1,74
"06/20/2016",6,20,2016,20,1,1,0,73
"06/20/2016",6,20,2016,21,1,1,0,71
"06/20/2016",6,20,2016,22,1,1,0,71
"06/20/2016",6,20,2016,23,1,1,0,70
"06/21/2016",6,21,2016,0,2,1,0,69
"06/21/2016",6,21,2016,1,2,1,0,68
"06/21/2016",6,21,2016,2,2,1,0,68
"06/21/2016",6,21,2016,3,2,1,0,66
"06/21/2016",6,21,2016,4,2,1,0,66
"06/21/2016",6,21,2016,5,2,1,0,66
"06/21/2016",6,21,2016,6,2,1,0,67
"06/21/2016",6,21,2016,7,2,1,1,69
"06/21/2016",6,21,2016,8,2,1,1,72
"06/21/2016",6,21,2016,9,2,1,1,74
"06/21/2016",6,21,2016,10,2,1,1,77
"06/21/2016",6,21,2016,11,2,1,1,80
"06/21/2016",6,21,2016,12,2,1,1,82
"06/21/2016",6,21,2016,13,2,1,1,83
"06/21/2016",6,21,2016,14,2,1,1,83
"06/21/2016",6,21,2016,15,2,1,1,83
"06/21/2016",6,21,2016,16,2,1,1,81
"06/21/2016",6,21,2016,17,2,1,1,80
"06/21/2016",6,21,2016,18,2,1,1,79
"06/21/2016",6,21,2016,19,2,1,1,78
"06/21/2016",6,21,2016,20,2,1,0,76
"06/21/2016",6,21,2016,21,2,1,0,75
"06/21/2016",6,21,2016,22,2,1,0,73
"06/21/2016",6,21,2016,23,2,1,0,71
"06/22/2016",6,22,2016,0,3,1,0,71
"06/22/2016",6,22,2016,1,3,1,0,69
"06/22/2016",6,22,2016,2,3,1,0,68
"06/22/2016",6,22,2016,3,3,1,0,67
"06/22/2016",6,22,2016,4,3,1,0,67
"06/22/2016",6,22,2016,5,3,1,0,67
"06/22/2016",6,22,2016,6,3,1,0,67
"06/22/2016",6,22,2016,7,3,1,1,69
"06/22/2016",6,22,2016,8,3,1,1,72
"06/22/2016",6,22,2016,9,3,1,1,74
"06/22/2016",6,22,2016,10,3,1,1,76
"06/22/2016",6,22,2016,11,3,1,1,78
"06/22/2016",6,22,2016,12,3,1,1,79
"06/22/2016",6,22,2016,13,3,1,1,80
"06/22/2016",6,22,2016,14,3,1,1,81
"06/22/2016",6,22,2016,15,3,1,1,80
"06/22/2016",6,22,2016,16,3,1,1,79
"06/22/2016",6,22,2016,17,3,1,1,78
"06/22/2016",6,22,2016,18,3,1,1,76
"06/22/2016",6,22,2016,19,3,1,1,75
"06/22/2016",6,22,2016,20,3,1,0,74
"06/22/2016",6,22,2016,21,3,1,0,72
"06/22/2016",6,22,2016,22,3,1,0,70
"06/22/2016",6,22,2016,23,3,1,0,69
